what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1575972269187
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1575972277812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972282384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972285839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972330747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972331601
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1575972331607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972331978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972333790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972335878
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1575972341972
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1575972342539
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1575972342560
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1575972342739
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1575972342740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972350247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972350283
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1575972350288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972350649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972351877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972354912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972381362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972389425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972393181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972395113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972396898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972400791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972402282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575972403570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1575972545307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1575972584329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1575972596363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1575972630082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575972743033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575972743950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575972745664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575972746198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972844246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575972844397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1575972967322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1575973037657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1575973047280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1575973083660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1575973094843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973126481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973178921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973209151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973212620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973214639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973219369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973220551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973224447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973235125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973235270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575973257111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973267491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973554639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973674459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973675575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575973676806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575974083631
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1575974090944
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575974095455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575974095698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1575974107972
error,log,,,"Internal Error",1575974110783
error,log,,,"Internal Error",1575974113685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1575974114470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1575974118656
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1575974126725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575974165928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575974169983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1575974177994
