what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1574914970979
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1574914971047
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1574914971103
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1574914971191
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1574914978507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574914983392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574914998470
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574914998999
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574914999191
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1574915008639
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1574915039761
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1574915039781
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1574915039845
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1574915039957
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1574915039977
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1574915040129
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1574915040129
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1574915040401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915040673
error,log,,,"Internal Error",1574915041709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915073961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915132481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915169532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915172525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915175933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915182494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915247566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915250647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915251419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915252831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915281784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915315946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915412096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915608877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915612850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915615823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915617951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915760899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915761039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915782134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915782278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574915796094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574915823939
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1574915829220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915837561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915841842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915847887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915854233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915857017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915857966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915858898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915861686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915863519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915886563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915894969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915909395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915911768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574915921359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915926799
started,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1574915935586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1574915935818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574915949836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574915961491
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915998125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915998253
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915998877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574916001222
