what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1571849283864
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571849285847
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1571849291274
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1571849291525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571849292886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571849292933
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1571849293027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571849293542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571849295838
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1571849297163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571849349799
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1571849540089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571851636118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571851638564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571853366932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571853375488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571884209434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571884221526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571884283255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571884286879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894042866
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1571894048740
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571894049759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571894049815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571894074600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894078798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894080336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894086526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894134598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894142548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894144550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571894170094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894174228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894176158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894180016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894230420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571894268104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571894288180
error,log,,,"Internal Error",1571894288416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571894339410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894350266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894352180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894384884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1571894388788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1571894389123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1571894389231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894424813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571894431571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571895072276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571895091962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571897070492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571897073432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899458734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899468132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1571899470001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899689368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899691909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899693436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899696570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899698484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571899727896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899728904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899731348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899732803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899734832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899758071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899759852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899760204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899767550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571899793125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905035953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905036325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905038575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905038622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905041154
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571905041747
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1571905042529
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1571905042732
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1571905042732
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1571905042748
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1571905042748
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1572878928681
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1572878928681
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1572878928681
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1572878928685
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1572878928685
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1572878928685
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1572878928689
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1572878928689
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1572878928689
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1572878928693
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1572878928693
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1572878928697
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1572878928769
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1572878928769
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1572878928825
