what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1576839380063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839392596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839392608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839392712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839392724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839392897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839399608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1576839399623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839402866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576839498626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576839503770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839509908
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1576839509925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839511649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839543714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839549400
error,log,,,"Provisioning exception",1576839549401
error,log,,,"Provisioning exception",1576839549405
error,log,,,"Provisioning exception",1576839549448
error,log,,,"Some sites could not be found.  See the error log for more detail.",1576839549450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576839566221
error,log,,,"Unable to read repository at http:%20//download.eclipse.org/egit/updates/content.xml.",1576839585106
error,log,,,"Unable to read repository at http:%20//download.eclipse.org/egit/updates/content.xml.",1576839585157
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1576839590183
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1576839590258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839605519
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1576839605538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839609030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839611077
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576839611333
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1576839611908
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1576839612096
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1576839612097
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1576839612099
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1576839612099
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1576839612100
