what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354211226
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1544354211244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354215371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354225324
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1544354225340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354244633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354247992
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1544354248066
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354253559
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354253633
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544354294985
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354298638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354308621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354320038
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354336891
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544354354149
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544354354262
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354380783
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544354380783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354396776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354438788
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354441680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354443969
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1544354451666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354492835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1544354492889
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354494805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354498522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354507293
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354509926
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354517094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354517387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354519076
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354521313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354523217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1544354551535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1544354552953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1544354554885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354585803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1544354585829
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354586599
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354596100
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544354596402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544354596503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544354624444
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354627597
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354633154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354637402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354642923
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1544354642968
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354643396
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354643438
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354647200
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354647200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544354649057
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354649057
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544354653325
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544354659317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354662803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354666229
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1544354666261
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354669381
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544354669445
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544354675775
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544354684136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354695275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354717784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354726431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354728709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354729564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354756290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354759436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354818851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544354909714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355138426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355140447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355318051
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355320588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355335053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355355982
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544355358801
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355385551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355416524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355446228
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544355449910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1544355461487
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544355464238
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355465623
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544355480413
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1544355510601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355513980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355517739
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1544355517783
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355520968
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355521031
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355526428
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544355527459
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1544355527460
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544355874479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544355886554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544359286046
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544359286992
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544359305106
