what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565574883
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1571565576895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565582261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565582305
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1571565582313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565582633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565584309
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571565587489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565596920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565598692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1571565634598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565639407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565641419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565717164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565741766
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1571565745734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565752188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565768760
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571565769216
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1571565769316
error,log,,,"Internal Error",1571565777654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1571565802001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565802661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565806112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565823900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1571565826057
