127.0.0.1 - - [08/Dec/2018:16:38:52 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:38:53 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:39:01 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:39:13 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:40:05 +0530] "GET /Servlets/welcome HTTP/1.1" 500 3237
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:40:21 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:41:51 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:43:44 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:06 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:10 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:15 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:17 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:18 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:19 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:19 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:20 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:21 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:53 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:46:58 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:47:10 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:47:10 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [08/Dec/2018:16:47:28 +0530] "GET /Servlets/ HTTP/1.1" 404 1045
